"engine","province","sex","year","age","population_count","population_count_pohem","all_count","relative_difference"
"CANSIM","Nova Scotia","Male",2001,"[75,80[",10754,10754,0,0
"CANSIM","Nova Scotia","Male",2001,"[80,85[",6919,6919,0,0
"CANSIM","Nova Scotia","Male",2001,"[85,90[",3338,3338,0,0
"CANSIM","Nova Scotia","Male",2001,"[90,95[",1057,1057,0,0
"CANSIM","Nova Scotia","Male",2001,"[95,100[",174,174,0,0
"CANSIM","Nova Scotia","Male",2001,"[100,max[",15,15,0,0
"CANSIM","Nova Scotia","Female",2001,"All",476140,476140,1,0
"CANSIM","Nova Scotia","Female",2001,"[0,5[",23558,23558,0,0
"CANSIM","Nova Scotia","Female",2001,"[5,10[",27650,27650,0,0
"CANSIM","Nova Scotia","Female",2001,"[10,15[",30410,30410,0,0
"CANSIM","Nova Scotia","Female",2001,"[15,20[",30625,30625,0,0
"CANSIM","Nova Scotia","Female",2001,"[20,25[",30518,30518,0,0
"CANSIM","Nova Scotia","Female",2001,"[25,30[",30166,30166,0,0
"CANSIM","Nova Scotia","Female",2001,"[30,35[",32022,32022,0,0
"CANSIM","Nova Scotia","Female",2001,"[35,40[",39027,39027,0,0
"CANSIM","Nova Scotia","Female",2001,"[40,45[",39790,39790,0,0
"CANSIM","Nova Scotia","Female",2001,"[45,50[",36825,36825,0,0
"CANSIM","Nova Scotia","Female",2001,"[50,55[",34292,34292,0,0
"CANSIM","Nova Scotia","Female",2001,"[55,60[",26421,26421,0,0
"CANSIM","Nova Scotia","Female",2001,"[60,65[",21251,21251,0,0
"CANSIM","Nova Scotia","Female",2001,"[65,70[",18666,18666,0,0
"CANSIM","Nova Scotia","Female",2001,"[70,75[",16939,16939,0,0
"CANSIM","Nova Scotia","Female",2001,"[75,80[",15014,15014,0,0
"CANSIM","Nova Scotia","Female",2001,"[80,85[",11983,11983,0,0
"CANSIM","Nova Scotia","Female",2001,"[85,90[",7181,7181,0,0
"CANSIM","Nova Scotia","Female",2001,"[90,95[",2887,2887,0,0
"CANSIM","Nova Scotia","Female",2001,"[95,100[",775,775,0,0
"CANSIM","Nova Scotia","Female",2001,"[100,max[",140,140,0,0
"CANSIM","New Brunswick","All",2001,"All",749820,749820,2,0
